Timestamp,FPS,RenderTime,CPU,Memory
1754671261.879284,0.0,0.002447843551635742,0.0,153.984375
1754671261.890507,0.0,0.004091978073120117,22.3,153.984375
1754671261.907032,0.0,0.003943920135498047,19.2,154.03125
1754671261.9236412,0.0,0.002974987030029297,23.7,154.203125
1754671261.940185,0.0,0.0027501583099365234,24.6,154.21875
1754671261.9567559,0.0,0.002116680145263672,20.7,154.21875
1754671261.9735942,0.0,0.002386331558227539,21.1,154.21875
1754671261.990005,0.0,0.0021529197692871094,16.6,154.21875
1754671262.007036,0.0,0.0018279552459716797,16.4,156.28125
1754671262.023914,0.0,0.0017712116241455078,14.2,156.28125
1754671262.04073,0.0,0.0017120838165283203,14.3,156.28125
1754671262.0576482,0.0,0.0018281936645507812,16.2,156.28125
1754671262.0744069,0.0,0.0016388893127441406,13.3,156.28125
1754671262.091338,0.0,0.0018508434295654297,14.8,156.28125
1754671262.1080089,0.0,0.0015528202056884766,13.3,156.28125
1754671262.126351,0.0,0.002214193344116211,16.0,154.21875
1754671262.142921,0.0,0.002398967742919922,17.0,154.21875
1754671262.16021,0.0,0.002160787582397461,14.7,154.21875
1754671262.177676,0.0,0.002341032028198242,17.2,156.28125
1754671262.193503,0.0,0.0017538070678710938,14.5,156.28125
1754671262.210745,0.0,0.0021219253540039062,17.2,156.28125
1754671262.228075,0.0,0.0022420883178710938,16.1,156.28125
1754671262.244787,0.0,0.0016341209411621094,13.1,156.28125
1754671262.261678,0.0,0.0018038749694824219,17.2,154.25
1754671262.2797508,0.0,0.002705812454223633,23.6,156.3125
1754671262.294987,0.0,0.0011470317840576172,12.7,156.3125
1754671262.315146,0.0,0.003954887390136719,25.9,156.3125
1754671262.331239,0.0,0.002866983413696289,22.6,156.3125
1754671262.35049,0.0,0.004433155059814453,35.1,156.3125
1754671262.363589,0.0,0.0017671585083007812,21.3,156.3125
1754671262.3807948,0.0,0.001941680908203125,19.4,154.25
1754671262.397067,0.0,0.00177001953125,17.9,156.3125
1754671262.413804,0.0,0.0015020370483398438,15.1,156.3125
1754671262.430732,0.0,0.0017940998077392578,16.7,156.3125
1754671262.447953,0.0,0.001734018325805664,17.4,156.3125
1754671262.465577,0.0,0.0019860267639160156,21.6,156.3125
1754671262.484289,0.0,0.0030760765075683594,31.1,154.25
1754671262.498658,0.0,0.0017330646514892578,20.0,156.3125
1754671262.5179,0.0,0.002701997756958008,30.4,154.25
1754671262.534064,0.0,0.0021500587463378906,26.5,154.25
1754671262.5534,0.0,0.003721952438354492,36.2,156.328125
1754671262.567071,0.0,0.0021140575408935547,26.3,154.265625
1754671262.584189,0.0,0.0021109580993652344,22.8,156.328125
1754671262.6017652,0.0,0.0020651817321777344,19.7,156.328125
1754671262.6190941,0.0,0.0024089813232421875,30.6,156.328125
1754671262.6347141,0.0,0.002172231674194336,22.9,154.265625
1754671262.651973,0.0,0.0030100345611572266,22.1,156.328125
1754671262.669576,0.0,0.003381967544555664,25.3,156.328125
1754671262.685459,0.0,0.0026569366455078125,21.7,156.328125
1754671262.701586,0.0,0.0019860267639160156,16.7,156.328125
1754671262.719088,0.0,0.002240896224975586,18.0,156.34375
1754671262.73566,0.0,0.0014352798461914062,11.7,156.34375
1754671262.753786,0.0,0.0028650760650634766,22.9,156.34375
1754671262.7705631,0.0,0.0025441646575927734,19.4,156.34375
1754671262.786859,0.0,0.0021991729736328125,19.6,156.34375
1754671262.802976,0.0,0.0010459423065185547,10.0,156.359375
1754671262.8204858,0.0,0.001428842544555664,13.1,156.359375
1754671262.837312,0.0,0.0017211437225341797,15.3,156.359375
1754671262.85745,0.0,0.0038988590240478516,24.9,156.359375
1754671262.872982,0.0,0.0034089088439941406,15.6,154.296875
1754671262.8889542,60.04734363848315,0.0018172264099121094,14.8,154.296875
1754671262.9048052,60.04734363848315,0.0011451244354248047,13.7,156.359375
1754671262.922672,60.04734363848315,0.0017881393432617188,14.7,156.359375
1754671262.9421608,60.04734363848315,0.004236698150634766,28.2,156.359375
1754671262.95706,60.04734363848315,0.0017681121826171875,18.7,156.359375
1754671262.9741912,60.04734363848315,0.002035379409790039,16.4,154.296875
1754671262.9940531,60.04734363848315,0.004445075988769531,34.0,156.359375
1754671263.00992,60.04734363848315,0.0027298927307128906,19.5,154.296875
1754671263.025952,60.04734363848315,0.0018723011016845703,15.2,156.359375
1754671263.044759,60.04734363848315,0.0035572052001953125,27.7,156.359375
1754671263.061328,60.04734363848315,0.0032968521118164062,28.0,156.359375
